,備考,"Main_No
(BTS#)",Estimate_VendorType,"Estimate_ModuleMain,Main_ModuleMain","Estimate_ModuleSub,Main_ModuleSub","UN_Summary_J
現象/機能のサマリー(日本語）",UN_Summary,"UN_Detail_J
現象/機能の詳細(日本語）",UN_Detail,"UN_ImpOpeResult_J
改善後の動作と結果(日本語）",UN_ImpOpeResult,"UN_RelevantRevision_J
現象発生レビジョン(日本語）",UN_RelevantRevision,RelatedPackages,ReferDoc,ReferDoc_J,OutputProduct,InputFileName,responsibility for the UN contents
R1.01_00,3/3修正お願いします。,BTS00027671,Defect,GUI_Tools,Tools_in_General,Helpメニューから起動するオンライン・マニュアルを開いたままツールを終了すると、再度ツールが起動できなくなる現象,"When a tool was terminated with the online manual started from the Help menu open, the tool was not able to be started again.","以下のツールは、Heｌpメニューから起動するオンライン・マニュアルを開いたままツールを終了すると、マニュアルを閉じるまでツールが起動できなくなりました。
 
・Console Window
・Mask Tool
・SysLog
・System Viewer

また、TDL Debuger Toolは、マニュアルを閉じなくても起動はしますが、動作はしませんでした。","When any of the following tools was terminated with the online manual started from the Help menu open, the tool was not able to be started until the manual was closed:

 - Console Window
 - Mask Tool
 - SysLog
 - System Viewer

In addition, TDL Debugger Tool was able to be started but did not operate without closing the manual.",マニュアルを開いたままでもツールは起動し、正しく動作するようになりました。,The tools can now start up and operate properly with the manual open.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_00,,BTS00027661,Defect,GUI_Tools,WaveTool,テスト・パターンの実行開始アドレスを指定するとサンプリングでエラーになる現象,An error occurred during sampling when the execution start address of a test pattern was specified.,"VECTORREGクラスを使ってテスト・パターンの実行開始アドレスを指定している場合、サンプリング時に以下のエラーが発生していました。

[ErrorMessages]
Pattern Address 0 does not exist.","When the execution start address of a test pattern was specified using the VECTORREG class, the following error occurred during sampling:

[ErrorMessages]
Pattern Address 0 does not exist.",VECTORREGクラスを使ってテスト・パターンの実行開始アドレスを指定しても、サンプリング時にエラーは発生せず、波形が表示されるようにしました。,"When the execution start address of a test pattern is specified using the VECTORREG class, an error does not occur during sampling and waveforms are displayed now.",R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,須藤
R1.01_00,"#632
2/12修正",BTS00027593,Defect,TDL,TDL Interpreter,fstreamクラスのオブジェクトでファイルの読み書きが間欠で失敗する現象,Read/write of a file failed intermittently for fstream class objects.,fstream(ifstream / ofstream / fstream)クラスのオブジェクトでファイルの読み書きが間欠で失敗する現象が発生していました。,"Read/write of a file failed intermittently for fstream (ifstream, ofstream, and fstream) class objects.",fstream(ifstream / ofstream / fstream)のオブジェクトでファイルの読み書きが正しく動作するようになりました。,"Read/write of a file can now be performed correctly for fstream (ifstream, ofstream, and fstream) class objects.",R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,PLXT61,UN_ASDSoft3.xls,ASDSoft3 工藤
R1.01_00,2/10修正,BTS00027687,Defect,TDL,Testing Unit Class,VSPINTBLクラスで管理するVSチャンネル番号のうちDUT2以降のチャンネル番号が正しく取得できない現象,"Channel numbers of DUT2 and after, which are among the VS channel numbers managed by the VSPINTBL class, could not be obtained correctly.","複数個同時測定において、VSPINTBLクラスのdefineデータ・メンバおよびPARALLELクラスのvs_defineデータ・メンバの指定が以下のすべての条件を満たしたとき、DUT2以降の物理チャンネル番号が正しく取得できませんでした。

条件
 1) 複数個同時測定を行っている
 2) VSPINTBLクラスのdefineデータ・メンバに指定したVSPINオブジェクトの記述順とPARALLELクラスのvs_defineデータ・メンバに指定した物理チャンネル番号の記述順が一致していない

この結果、以下の2つの現象が発生しました。
 1) MEASURE_DPSIMクラス、MEASURE_DPSAVRIMクラス、MEASURE_DPSVMクラスのデータ・ログでDUT2以降の物理チャンネル番号が正しく表示されませんでした。
 2) PCONクラスで設定したVSピンに対して、DUT2以降のPCONリレーが正しく設定できませんでした。","In a multiple-device parallel test, if the setting of the define data member of the VSPINTBL class and vs_define data member of the PARALLEL class satisfied all the following conditions, the physical channel numbers of DUT2 and after could not be obtained correctly.

Conditions
 1) A multiple-device parallel test was performed.
 2) The description order of the VSPIN objects which were specified for the define data members of the VSPINTBL class and that of the physical channel numbers which were specified for the vs_define data members of the PARALLEL class did not match.

As a result, the following two problems occurred:
 1) The physical channel numbers of DUT2 and after were not displayed correctly in the data logs of the MEASURE_DPSIM, MEASURE_DPSAVRIM, and MEASURE_DPSVM classes.
 2) The PCON relays of DUT2 and after could not be set correctly for the VS pins set using the PCON class.",条件に関わらず、データ・ログの物理ピン番号の表示、およびPCONリレーの設定が正しく動作するようになりました。,"The physical pin numbers are displayed correctly in the data log, and the PCON relay setting operates correctly now regardless of conditions.",R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,"ASDsoft3
saiki"
R1.01_00,2/10修正,BTS00027585,Defect,TDL,Testing Unit Class,OUTO命令を使用しているパターン・プログラム実行中にサイト・コントローラがハングアップしてしまう現象,Site controller hang-up occurred during the execution of a pattern program which used the OUTO instruction.,複数個同時測定でOUTO命令を使用しているパターン・プログラム実行中にサイト・コントローラがハングアップしてしまう場合がありました。,"In a multiple-device parallel test, a site controller hang-up sometimes occurred during the execution of a pattern program which used the OUTO instruction.",複数個同時測定でOUTO命令を使用しているパターン・プログラムを実行しても、サイト・コントローラがハングアップしなくなりました。,"In a multiple-device parallel test, a site controller hang-up does not occur now when a pattern program which uses the OUTO instruction is executed.",R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3 三俣
R1.01_00,2/10修正,BTS00027587,Defect,TDL,Testing Unit Class,HSIFPINオブジェクトのDUT2以降の物理ピン番号が正しくない現象,Physical pin numbers of DUT2 and after in the HSIFPIN object were not correct.,HSIFピンの分割数に8を指定した場合にHSIFPINオブジェクトのDUT2以降の物理ピン番号が正しくありませんでした。,"If 8 was specified as the number of HSIF pin divisions, the physical pin numbers of DUT2 and after in the HSIFPIN object were not correct.",HSIFピンの分割数に8を指定した場合でもHSIFPINオブジェクトのDUT2以降の物理ピン番号が正しくなりました。,"If 8 is specified as the number of HSIF pin divisions , the physical pin numbers of DUT2 and after in the HSIFPIN object are correct now.",R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3 三俣
R1.01_00,"2/23
BTS番号修正",BTS00027654,Defect,TDL,Testing Unit Class,"MDGT_SAMP, RVS_IM, RVS_VMクラスにおいて、測定のタイムアウトが発生する現象","Measurement timeout occurred in the MDGT_SAMP, RVS_IM, and RVS_VM classes.","MDGT_SAMP, RVS_IM, RVS_VMクラスにおいて、以下の条件をすべて満たす場合に、測定のタイムアウトが発生していました。

・LSTAまたはLSPAを指定する
・LSTAからLSPAの範囲の全てのLCDパターンのニーモニックが'X'である","When all the following conditions were met in the MDGT_SAMP, RVS_IM, and RVS_VM classes, a measurement timeout occurred:

 - LSTA or LSPA was specified.
 - Mnemonic of all LCD patterns in the LSTA to LSPA range was 'X'.","MDGT_SAMP, RVS_IM, RVS_VMクラスにおいて、以下の条件をすべて満たす場合でも、測定のタイムアウトが発生しないようにしました。

・LSTAまたはLSPAを指定する
・LSTAからLSPAの範囲の全てのLCDパターンのニーモニックが'X'である","When all the following conditions are met in the MDGT_SAMP, RVS_IM, and RVS_VM classes, a measurement timeout does not occur now:

 - LSTA or LSPA is specified.
 - Mnemonic of all LCD patterns in the LSTA to LSPA range is 'X'.",R1.00_00以降,R1.00_00 and later,AT_T6KAQM_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASD3 大泉
R1.01_00,,BTS00027626,Defect,TDL,Testing Unit Class,VECTORMEM クラスでパターンの設定と読み出しが正しくできない現象,Patterns could not be set or read correctly using the VECTORMEM class.,"VECTORMEMクラスにおいて、以下の条件をすべて満たす場合、Write_TTB()メソッドおよびGet_TTB_Single()メソッドが後述する通り、正常に動作しませんでした。

・対象のパターンがVECTORFILEGRPで2つ以上のパターンを連結してロードしている
・書き込みおよび読み出しを行うアドレスが１つめのパターンと２つ目のパターンにまたがっている

この場合、2個目のパターンのデータがGet_TTB_Single()で正常に読み出しができませんでした。また、Write_TTB()で書き込むパターンの長さが連結後のパターンのサイズよりも大きかった場合、エラーになりませんでした。","When all the following conditions were met in the VECTORMEM class, the Write_TTB() and Get_TTB_Single() methods did not operate correctly as described in the following:

 - Two or more patterns were connected and loaded using VECTORFILEGRP as the target patterns.
 - The address for reading and writing extended over the first and second patterns.

In this case, data for the second pattern could not be read correctly using Get_TTB_Single(). Also, when the pattern length written using Write_TTB() was longer than the connected pattern size, an error did not occur.","2つのパターンにまたがって書き込みまたは読み出しを行った場合、以下の点が改善されました。

・Get_TTB_Single()メソッドで2個目以降のパターンが正常に取得できるようになりました。
・Write_TTB()メソッドで、連結後のパターンのアドレスよりも長いパターンを書き換えようとした場合、エラーになるようになりました。","If reading or writing extends over two patterns, the following points are improved:

 - The second and subsequent patterns can now be obtained correctly using the Get_TTB_Single() method.
 - If the pattern length written using the Write_TTB() method is longer than the connected pattern address, an error occurs now.",R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASD3阪東
R1.01_00,,BTS00027554,Defect,TDL,Testing Unit Class,SEQUENCEクラスに指定したリソースが指定時間どおりにリファレンス・オン、または、リファレンス・オフされない場合がある現象,Reference-on or reference-off was sometimes not executed on time for the resource specified for the SEQUENCE class.,"SEQUENCEクラスにおいて、以下の条件をすべて満たした場合、PreExec()メソッド、および、PostExec()メソッドにて指定時間どおりに信号印加、および、信号印加停止が行われませんでした。

・以下のピングループ内に、重複した同一種類のリソース・ピンが指定されている
  - PINLIST
  - LCDPINLIST
  - RVSPINLIST
  - HSIFPINLIST
・重複したリソース・ピンの方が先に指定されたピングループよりも遅い時間である

【問題のプログラム例】
SEQUENCE seq;
seq.sunit(1, 1mS, ALL_RVSPIN, RVS);  // ※1
seq.sunit(2, 2mS, RVSPIN1, RVS);  // ※2

※1 ALL_RVSPINはRVSPIN1を含むピングループである
※2 RVSPIN1は、ALL_RVSPINよりも遅い時間を指定される","When all the following conditions were met in the SEQUENCE class, a signal was not applied or signal application did not stop on time using the PreExec() and PostExec() method:

 - The same type of resource pin was specified redundantly in the following pin groups:
   - PINLIST
   - LCDPINLIST
   - RVSPINLIST
   - HSIFPINLIST
 - Time specified for the redundant resource pin was later than the time set for the previously specified pin group.

【Program example of the problem】
SEQUENCE seq;
seq.sunit(1, 1mS, ALL_RVSPIN, RVS);  // ※1
seq.sunit(2, 2mS, RVSPIN1, RVS);  // ※2

※1 ALL_RVSPIN is a pin group that includes RVSPIN1.
※2 Time specified for RVSPIN1 was later than the time specified for ALL_RVSPIN.",リソース・ピンの指定が重複した場合でも、指定時間どおりに信号印加、および、信号印加停止を行うようになりました。,"Even if the redundant resource pin setting is made, a signal is applied and signal application stops on time.",R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASD3篠田
R1.01_00,2/12追加,BTS00027752,Defect,TDL,Testing Unit Class,HSIFピンのDCパラメトリック試験をデータ・ログで出力するときに判定値が正しく出力されない現象,"When a data log of a DC parametric test of HSIF pins was output, the judgment values were not output correctly.","以下の条件をすべて満たすとき、測定結果のデータ・ログの出力で、判定値のUP_LIMとLO_LIMが正しく出力されないことがありました。

条件
 1) DCパラメトリック試験としてMEASURE_IMクラスまたはMEASURE_VMクラスを使用する
 2) 測定ピンがHSIFPINまたはHSIFPINLIST","When all of the following conditions were met, the UP_LIM and LO_LIM judgment values were not output correctly to the data log of the measurement results.

Conditions
 1) The MEASURE_IM or MEASURE_VM class is used in a DC parametric test.
 2) The measurement pin is HSIFPIN or HSIFPINLIST.",判定値のUP_LIMとLO_LIMが正しく出力できるようになりました。,The UP_LIM and LO_LIM judgment values can now be output correctly.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASD3小林（雅)
R1.01_00,2/12追加,BTS00027761,Defect,TDL,Testing Unit Class,HVDCを使用したDCパラメトリック試験で、SEQ_IMクラスに指定した待ち時間(ton)が取られない現象,The wait time (ton) that was specified for the SEQ_IM class was not ensured in a DC parametric test using HVDC.,HVDCを使用したDCパラメトリック試験で、SEQ_IMクラスのseqデータメンバに指定した待ち時間(ton)が取られていませんでした。,The wait time (ton) that was specified for the seq data member of the SEQ_IM class was not ensured in a DC parametric test using HVDC.,指定した待ち時間(ton)が正しく取られるようになりました。,The specified wait time (ton) is now ensured correctly.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,"ASDsoft3
阪東"
R1.01_00,2/17追加,BTS00027766,Defect,TDL,Testing Unit Class,LCDPINLIST、RVSPINLIST、または、HSIFPINLISTオブジェクトを使用して測定結果がHIDARにて正しくヒストグラム・データに出力されない現象,"The measureent result could not be output to the histogram data of HIDAR correctly using the LCDPINLIST, RVSPINLIST or HSIFPINLIST object.","下記のピン・オブジェクトを使用した場合、MEASURE_IMクラス、および、MEASURE_VMクラスの測定結果がHIDARのヒストグラム・データに正しく出力できませんでした。

・LCDPINLIST
・RVSPINLIST
・HSIFPINLIST","Using following pin object, the measured data with MEASURE_IM or MEASURE_VM could not be output to the histogram data of HIDAR.

- LCDPINLIST
- RVSPINLIST
- HSIFPINLIST",測定値がHIDARのヒストグラム・データに正しく出力できるようになりました。,The measured data could be output to the histogram data of HIDAR correctly.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASD3篠田
R1.01_00,2/24追加,BTS00027805,Defect,TDL,Testing Unit Class,VECTORFILEクラスおよびVECTORFILEGRPクラスでランタイム・エラーが発生しない現象,The runtime error does not occur in VECTORFILE class and VECTORFILEGRP class.,"VECTORFILEクラスおよびVECTORFILEGRPクラスにおいて以下のいずれかの条件のときにLoadメソッドでランタイム・エラーが発生しませんでした。

・パターン・プログラムのCHANNEL文の引数にLCDEXPANDを指定する。かつSOCKETクラスのlcd_modeデータ・メンバにNORMALを指定する。
・パターン・プログラムのCHANNEL文の引数にLCDEXPANDを指定する。かつSOCKETクラスのlcd_modeデータ・メンバを省略する。
・パターン・プログラムのCHANNEL文の引数にLCDEXPANDを指定しない。かつSOCKETクラスのlcd_modeデータ・メンバにLCDEXPANDを指定する。","A runtime error did not occur by Load method under conditions of any of the following in VECTORFILE class and VECTORFILEGRP class.

 - LCDEXPAND is specified in the argument of the CHANNEL sentence of the pattern program. And NORMAL is specified by the lcd_mode data member of the SOCKET class.
 - LCDEXPAND is specified in the argument of the CHANNEL sentence of the pattern program. And the lcd_mode data member of the SOCKET class is omitted.
 - LCDEXPAND is not specified in the argument of the CHANNEL sentence of the pattern program. And LCDEXPAND is specified by the lcd_mode data member of the SOCKET class.",VECTORFILEクラスおよびVECTORFILEGRPクラスのLoadメソッドでランタイム・エラーが発生するようにしました。,A runtime error came to occur by Load method of VECTORFILE class and VECTORFILEGRP class.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASD3 三俣
R1.01_00,3/3追加,BTS00027837,Defect,TDL,Testing Unit Class,COMPATIBLEクラスのpmux33データ・メンバでONを指定すると、4倍速波形モードが使用できない現象,Quadruple-speed waveform modes cannot be used when ON is specified for pmux33 data member of COMPATIBLE class.,"COMPATIBLEクラスのpmux33データ・メンバでONを指定した場合、SIGNAL クラスまたは SIGNAL_TIMING クラスの wavekind() データ・メンバで以下の4倍速波形モードの波形を設定すると、Loadメソッドを実行した時にランタイム・エラーとなっていました。

・FNRZ1
・FNRZ1INV
・FNRZ2
・FNRZ2INV","When ON is specified for pmux33 data member of COMPATIBLE class, a runtime error would occur when one of following quadruple-speed waveform modes is specified for wavekind data member of SIGNAL class or SIGNAL_TIMING class.

- FNRZ1
- FNRZ1INV
- FNRZ2
- FNRZ2INV",COMPATIBLEクラスのpmux33データ・メンバでONを指定した場合でも、4倍速波形モードが使用できるようになりました。,Quadruple-speed waveform mode can be used when ON is specified for pmux33 data member of COMPATIBLE class.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASD3 阪東
R1.01_00,,BTS00027748,Enhancement,GUI_Tools,ConsoleWindow,atcl_cmdコマンドの機能追加,Addition of functions to the atcl_cmd command,"atcl_cmdコマンドに以下の機能を追加しました。

 (1) ログを保存するファイルを指定する機能
 (2) ログを開始・終了する機能
 (3) Console Windowに表示する最大行数を指定する機能","The following functions have been added to the atcl_cmd function:

 (1) Function that specifies a file in which to save logs
 (2) Function that starts/stops logging
 (3) Function that specifies the maximum number of lines to be displayed in Console Window",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_00,2/10追加,BTS00027644,Enhancement,GUI_Tools,HidarTool,統計処理結果の出力形式を指定する機能の追加,Addition of a function for specifying an output format of statistical processing results,統計処理結果の出力形式として、ヒストグラム形式のほかに、表形式とカンマ形式を指定できるようにしました。,The tabular and comma-separated formats can now be specified in addition to the histogram format as output formats of statistical processing results.,,,,,AT_T6KCommon_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,PLXM20-MD,UN_APSoft7.xls,辻
R1.01_00,2/10追加,BTS00027646,Enhancement,GUI_Tools,HidarTool,統計処理結果の出力先を指定する機能の追加,Addition of a function for specifying an output destination of statistical processing results,統計処理結果の出力先として、ディスク上のファイルを指定できるようにしました。,A file on the disk can now be specified as an output destination of statistical processing results.,,,,,AT_T6KCommon_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,PLXM20-MD,UN_APSoft7.xls,辻
R1.01_00,2/10追加,BTS00027648,Enhancement,GUI_Tools,HidarTool,[Default]ボタンの追加,Addition of the [Default] button,Condition Setupダイアログ・ボックスに、設定をデフォルトの状態にするための[Default]ボタンを追加しました。,"The [Default] button, which changes settings back to their defaults, has been added to the Condition Setup dialog box.",,,,,AT_T6KCommon_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,PLXM20-MD,UN_APSoft7.xls,辻
R1.01_00,,BTS00027708,Enhancement,GUI_Tools,Pattern Editor,HSIFパターンのデータ・サイクル表示機能の追加,Addition of a function that displays the HSIF pattern data cycle,HSIFパターンを任意の数に区切って表示（データ・サイクル表示）できるようにしました。,HSIF patterns can now be separated into arbitrary groups and then displayed (data cycle display).,,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,寺内
R1.01_00,,BTS00027697,Enhancement,GUI_Tools,SystemViewer,LPPDCの設定値を表示する機能の追加,Addition of a function for displaying the settings of the LPPDC,DC UnitにLPPDCの設定値を表示できるようにしました。,The settings of the LPPDC can now be displayed on the DC Unit.,,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.01_00,,BTS00027615,Enhancement,GUI_Tools,TDL Debugger Tool,テスト・プラン・プログラムのリロードの機能追加,Addition of a function for reloading a test plan program,"テスト・プラン・プログラムが以下の条件に該当する場合でも、リロードができるようになりました。

 (1) [File]→[Open...]で開いたファイルの場合。
 (2) 各種ピン・ピンリスト情報、SOCKETクラス、PARALLELクラスの設定を変更した場合。
 (3 )テスト・プラン・プログラムから参照されたファイルのみを編集した場合。","A test plan program can now be reloaded even if it meets the following conditions:

 (1) The file was opened by selecting [File] → [Open...].
 (2) Information of various pins and pin lists, and setting of the SOCKET and PARALLEL classes have been changed.
 (3) Only files that were referenced from the test plan program have been edited.",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
